GameID,HomeTeam,AwayTeam,HomeScore,AwayScore,ScoresScrapedAt
17553,Fort Fairfield High School,Easton Senior,44.0,18.0,2026-02-08T20:33:30Z
17572,Fort Fairfield High School,Central Aroostook Sr,33.0,65.0,2026-02-08T20:33:30Z
20079,Fort Kent Community High School,Caribou,66.0,70.0,2026-02-08T20:33:30Z
20908,Caribou,Fort Kent Community High School,60.0,51.0,2026-02-08T20:33:30Z
20090,Fort Kent Community High School,Caribou,18.0,67.0,2026-02-08T20:33:30Z
20888,Caribou,Fort Kent Community High School,69.0,15.0,2026-02-08T20:33:30Z
16496,Dexter Regional,Foxcroft Academy,44.0,61.0,2026-02-08T20:33:30Z
21870,Foxcroft Academy,Central,67.0,31.0,2026-02-08T20:33:30Z
21875,Foxcroft Academy,Caribou,72.0,58.0,2026-02-08T20:33:30Z
16594,Foxcroft Academy,Dexter Regional,83.0,38.0,2026-02-08T20:33:30Z
15539,Central,Foxcroft Academy,49.0,72.0,2026-02-08T20:33:30Z
20906,Caribou,Foxcroft Academy,50.0,47.0,2026-02-08T20:33:30Z
16735,Foxcroft Academy,Dexter Regional,47.0,39.0,2026-02-08T20:33:30Z
21899,Foxcroft Academy,Central,66.0,32.0,2026-02-08T20:33:30Z
21906,Foxcroft Academy,Caribou,45.0,31.0,2026-02-08T20:33:30Z
20890,Caribou,Foxcroft Academy,51.0,41.0,2026-02-08T20:33:30Z
15603,Central,Foxcroft Academy,35.0,58.0,2026-02-08T20:33:30Z
16819,Dexter Regional,Foxcroft Academy,41.0,49.0,2026-02-08T20:33:30Z
9147,Cape Elizabeth,Freeport High School,54.0,50.0,2026-02-08T20:33:30Z
9851,Freeport High School,Brunswick,39.0,70.0,2026-02-08T20:33:30Z
9788,Freeport High School,Cape Elizabeth,37.0,18.0,2026-02-08T20:33:30Z
10827,Brunswick,Freeport High School,32.0,37.0,2026-02-08T20:33:30Z
9145,Cape Elizabeth,Fryeburg Academy,48.0,40.0,2026-02-08T20:33:30Z
9319,Freeport,Fryeburg Academy,55.0,31.0,2026-02-08T20:33:30Z
9327,Fryeburg Academy,Cape Elizabeth,49.0,70.0,2026-02-08T20:33:30Z
9335,Fryeburg Academy,Freeport,32.0,42.0,2026-02-08T20:33:30Z
9345,Fryeburg Academy,Cape Elizabeth,25.0,30.0,2026-02-08T20:33:30Z
9355,Fryeburg Academy,Freeport,30.0,38.0,2026-02-08T20:33:30Z
9194,Cape Elizabeth,Fryeburg Academy,37.0,19.0,2026-02-08T20:33:30Z
9369,Freeport,Fryeburg Academy,44.0,31.0,2026-02-08T20:33:30Z
11137,Gardiner Area High School,Belfast Area,64.0,48.0,2026-02-08T20:33:30Z
12556,Gardiner Area High School,Freeport,72.0,43.0,2026-02-08T20:33:30Z
10747,Brunswick,Gardiner Area High School,78.0,45.0,2026-02-08T20:33:30Z
12564,Gardiner Area High School,Cony HS,97.0,90.0,2026-02-08T20:33:30Z
12560,Erskine Academy,Gardiner Area High School,36.0,60.0,2026-02-08T20:33:30Z
12576,Cony HS,Gardiner Area High School,75.0,69.0,2026-02-08T20:33:30Z
11157,Belfast Area,Gardiner Area High School,62.0,77.0,2026-02-08T20:33:30Z
10997,Gardiner Area High School,Belfast Area,61.0,26.0,2026-02-08T20:33:30Z
9786,Freeport,Gardiner Area High School,24.0,37.0,2026-02-08T20:33:30Z
12662,Gardiner Area High School,Brunswick,52.0,24.0,2026-02-08T20:33:30Z
12668,Cony HS,Gardiner Area High School,17.0,58.0,2026-02-08T20:33:30Z
12664,Gardiner Area High School,Erskine Academy,60.0,54.0,2026-02-08T20:33:30Z
12681,Gardiner Area High School,Cony HS,49.0,44.0,2026-02-08T20:33:30Z
11056,Belfast Area,Gardiner Area High School,18.0,63.0,2026-02-08T20:33:30Z
15531,Central,George Stevens Academy,56.0,47.0,2026-02-08T20:33:30Z
18974,Bucksport,George Stevens Academy,45.0,35.0,2026-02-08T20:33:30Z
11688,Calais,George Stevens Academy,51.0,47.0,2026-02-08T20:33:30Z
16578,Dexter Regional,George Stevens Academy,66.0,56.0,2026-02-08T20:33:30Z
13197,Deer Isle-Stonington,George Stevens Academy,22.0,75.0,2026-02-08T20:33:30Z
19055,George Stevens Academy,Central,51.0,48.0,2026-02-08T20:33:30Z
19059,George Stevens Academy,Bucksport,48.0,33.0,2026-02-08T20:33:30Z
16602,George Stevens Academy,Dexter Regional,44.0,66.0,2026-02-08T20:33:30Z
13212,George Stevens Academy,Deer Isle-Stonington,71.0,14.0,2026-02-08T20:33:30Z
19067,George Stevens Academy,Calais,42.0,47.0,2026-02-08T20:33:30Z
18998,George Stevens Academy,Calais,42.0,26.0,2026-02-08T20:33:30Z
15562,Central,George Stevens Academy,33.0,47.0,2026-02-08T20:33:30Z
19004,George Stevens Academy,Bucksport,53.0,26.0,2026-02-08T20:33:30Z
16741,George Stevens Academy,Dexter Regional,29.0,25.0,2026-02-08T20:33:30Z
16259,Calais,George Stevens Academy,26.0,37.0,2026-02-08T20:33:30Z
13165,Deer Isle-Stonington,George Stevens Academy,23.0,40.0,2026-02-08T20:33:30Z
19010,George Stevens Academy,Central,40.0,24.0,2026-02-08T20:33:30Z
19946,Bucksport,George Stevens Academy,37.0,50.0,2026-02-08T20:33:30Z
13179,George Stevens Academy,Deer Isle-Stonington,42.0,14.0,2026-02-08T20:33:30Z
16815,Dexter Regional,George Stevens Academy,39.0,44.0,2026-02-08T20:33:30Z
17168,Gorham High School,Biddeford,74.0,45.0,2026-02-08T20:33:30Z
16025,Gorham High School,Deering,60.0,54.0,2026-02-08T20:33:30Z
13399,Cheverus,Gorham High School,56.0,54.0,2026-02-08T20:33:30Z
14181,Bonny Eagle,Gorham High School,68.0,40.0,2026-02-08T20:33:30Z
17175,Gorham High School,Falmouth,56.0,49.0,2026-02-08T20:33:30Z
15160,Biddeford,Gorham High School,58.0,31.0,2026-02-08T20:33:30Z
16042,Deering,Gorham High School,39.0,56.0,2026-02-08T20:33:30Z
17236,Gorham High School,Cheverus,44.0,48.0,2026-02-08T20:33:30Z
17240,Gorham High School,Bonny Eagle,80.0,37.0,2026-02-08T20:33:30Z
18326,Falmouth,Gorham High School,22.0,64.0,2026-02-08T20:33:30Z
13304,Gray-New Gloucester High School,Freeport,66.0,51.0,2026-02-08T20:33:30Z
13350,Gray-New Gloucester High School,Cape Elizabeth,62.0,47.0,2026-02-08T20:33:30Z
9321,Fryeburg Academy,Gray-New Gloucester High School,43.0,72.0,2026-02-08T20:33:30Z
9339,Gray-New Gloucester High School,Fryeburg Academy,65.0,43.0,2026-02-08T20:33:30Z
13534,Freeport,Gray-New Gloucester High School,66.0,50.0,2026-02-08T20:33:30Z
9784,Freeport,Gray-New Gloucester High School,28.0,60.0,2026-02-08T20:33:30Z
9184,Cape Elizabeth,Gray-New Gloucester High School,34.0,68.0,2026-02-08T20:33:30Z
9357,Gray-New Gloucester High School,Fryeburg Academy,72.0,18.0,2026-02-08T20:33:30Z
9373,Fryeburg Academy,Gray-New Gloucester High School,26.0,73.0,2026-02-08T20:33:30Z
13681,Gray-New Gloucester High School,Freeport,53.0,32.0,2026-02-08T20:33:30Z
10733,Brunswick,Greely High School,79.0,36.0,2026-02-08T20:33:30Z
9310,Greely High School,Fryeburg Academy,50.0,43.0,2026-02-08T20:33:30Z
20704,Greely High School,Cape Elizabeth,33.0,30.0,2026-02-08T20:33:30Z
20708,Greely High School,Freeport,42.0,51.0,2026-02-08T20:33:30Z
13514,Greely High School,Gray-New Gloucester,49.0,32.0,2026-02-08T20:33:30Z
9329,Fryeburg Academy,Greely High School,34.0,41.0,2026-02-08T20:33:30Z
9907,Freeport,Greely High School,40.0,41.0,2026-02-08T20:33:30Z
9912,Gray-New Gloucester,Greely High School,51.0,41.0,2026-02-08T20:33:30Z
20716,Greely High School,Brunswick,36.0,37.0,2026-02-08T20:33:30Z
9347,Fryeburg Academy,Greely High School,22.0,45.0,2026-02-08T20:33:30Z
9188,Cape Elizabeth,Greely High School,27.0,29.0,2026-02-08T20:33:30Z
20720,Freeport,Greely High School,35.0,46.0,2026-02-08T20:33:30Z
13663,Gray-New Gloucester,Greely High School,54.0,23.0,2026-02-08T20:33:30Z
9363,Greely High School,Fryeburg Academy,31.0,16.0,2026-02-08T20:33:30Z
20726,Greely High School,Freeport,38.0,37.0,2026-02-08T20:33:30Z
13685,Greely High School,Gray-New Gloucester,23.0,56.0,2026-02-08T20:33:30Z
13040,Greenville Consolidated School,Deer Isle-Stonington,42.0,31.0,2026-02-08T20:33:30Z
13074,Deer Isle-Stonington,Greenville Consolidated School,51.0,58.0,2026-02-08T20:33:30Z
14557,Forest Hills Consolidated,Greenville Consolidated School,78.0,40.0,2026-02-08T20:33:30Z
14559,Greenville Consolidated School,Forest Hills Consolidated,28.0,56.0,2026-02-08T20:33:30Z
14143,Carrabec,Greenville Consolidated School,60.0,18.0,2026-02-08T20:33:30Z
13119,Greenville Consolidated School,Deer Isle-Stonington,16.0,49.0,2026-02-08T20:33:30Z
13146,Deer Isle-Stonington,Greenville Consolidated School,43.0,13.0,2026-02-08T20:33:30Z
14709,Forest Hills Consolidated,Greenville Consolidated School,69.0,22.0,2026-02-08T20:33:30Z
14721,Greenville Consolidated School,Forest Hills Consolidated,23.0,40.0,2026-02-08T20:33:30Z
14141,Carrabec,Greenville Consolidated School,67.0,17.0,2026-02-08T20:33:30Z
10539,Madison Area Memorial Senior,Hall-Dale High School,60.0,67.0,2026-02-08T20:33:30Z
18881,Boothbay Region,Hall-Dale High School,45.0,72.0,2026-02-08T20:33:30Z
21796,Hall-Dale High School,Madison Area Memorial Senior,49.0,48.0,2026-02-08T20:33:30Z
21708,Dirigo,Hall-Dale High School,52.0,44.0,2026-02-08T20:33:30Z
21800,Hall-Dale High School,Madison Area Memorial Senior,33.0,42.0,2026-02-08T20:33:30Z
21802,Hall-Dale High School,Boothbay Region,52.0,35.0,2026-02-08T20:33:30Z
10527,Madison Area Memorial Senior,Hall-Dale High School,28.0,36.0,2026-02-08T20:33:30Z
21714,Hall-Dale High School,Dirigo,61.0,56.0,2026-02-08T20:33:30Z
20605,Hampden Academy,Camden Hills Regional,48.0,56.0,2026-02-08T20:33:30Z
21449,Hampden Academy,Brunswick,35.0,60.0,2026-02-08T20:33:30Z
21333,Ellsworth,Hampden Academy,55.0,51.0,2026-02-08T20:33:30Z
11556,Hampden Academy,Bangor,49.0,46.0,2026-02-08T20:33:30Z
11809,Camden Hills Regional,Hampden Academy,57.0,47.0,2026-02-08T20:33:30Z
19138,Hampden Academy,Edward Little,34.0,55.0,2026-02-08T20:33:30Z
21453,Hampden Academy,Brewer,50.0,33.0,2026-02-08T20:33:30Z
11569,Bangor,Hampden Academy,55.0,50.0,2026-02-08T20:33:30Z
11841,Camden Hills Regional,Hampden Academy,48.0,33.0,2026-02-08T20:33:30Z
10823,Brunswick,Hampden Academy,31.0,56.0,2026-02-08T20:33:30Z
21353,Hampden Academy,Ellsworth,76.0,38.0,2026-02-08T20:33:30Z
11593,Bangor,Hampden Academy,27.0,37.0,2026-02-08T20:33:30Z
20663,Hampden Academy,Camden Hills Regional,30.0,44.0,2026-02-08T20:33:30Z
19339,Edward Little,Hampden Academy,53.0,35.0,2026-02-08T20:33:30Z
18627,Brewer,Hampden Academy,36.0,51.0,2026-02-08T20:33:30Z
11605,Hampden Academy,Bangor,34.0,33.0,2026-02-08T20:33:30Z
12597,Hermon High School,Foxcroft Academy,61.0,39.0,2026-02-08T20:33:30Z
22466,Belfast Area,Hermon High School,45.0,43.0,2026-02-08T20:33:30Z
12621,Hermon High School,Ellsworth,48.0,44.0,2026-02-08T20:33:30Z
12996,Hermon High School,Cony HS,60.0,47.0,2026-02-08T20:33:30Z
12568,Gardiner Area,Hermon High School,54.0,36.0,2026-02-08T20:33:30Z
12998,Foxcroft Academy,Hermon High School,43.0,51.0,2026-02-08T20:33:30Z
11163,Hermon High School,Belfast Area,59.0,44.0,2026-02-08T20:33:30Z
13003,Ellsworth,Hermon High School,45.0,51.0,2026-02-08T20:33:30Z
13345,Hermon High School,Foxcroft Academy,49.0,35.0,2026-02-08T20:33:30Z
11001,Hermon High School,Belfast Area,61.0,29.0,2026-02-08T20:33:30Z
13360,Hermon High School,Ellsworth,47.0,60.0,2026-02-08T20:33:30Z
13378,Cony HS,Hermon High School,62.0,54.0,2026-02-08T20:33:30Z
12673,Hermon High School,Gardiner Area,34.0,58.0,2026-02-08T20:33:30Z
13383,Foxcroft Academy,Hermon High School,50.0,51.0,2026-02-08T20:33:30Z
11044,Belfast Area,Hermon High School,34.0,42.0,2026-02-08T20:33:30Z
13393,Ellsworth,Hermon High School,32.0,48.0,2026-02-08T20:33:30Z
18792,Hodgdon High School,Ashland District,94.0,6.0,2026-02-08T20:33:30Z
18794,Hodgdon High School,East Grand,82.0,8.0,2026-02-08T20:33:30Z
10683,Bangor Christian,Hodgdon High School,67.0,45.0,2026-02-08T20:33:30Z
17913,Central Aroostook Sr,Hodgdon High School,59.0,76.0,2026-02-08T20:33:30Z
18797,Hodgdon High School,Fort Kent Community,43.0,57.0,2026-02-08T20:33:30Z
18803,East Grand,Hodgdon High School,15.0,93.0,2026-02-08T20:33:30Z
17515,Hodgdon High School,Fort Fairfield HS,57.0,53.0,2026-02-08T20:33:30Z
18811,Fort Kent Community,Hodgdon High School,67.0,57.0,2026-02-08T20:33:30Z
17519,Fort Fairfield HS,Hodgdon High School,50.0,70.0,2026-02-08T20:33:30Z
18824,Hodgdon High School,Bangor Christian,48.0,68.0,2026-02-08T20:33:30Z
18822,Ashland District,Hodgdon High School,21.0,75.0,2026-02-08T20:33:30Z
17929,Hodgdon High School,Central Aroostook Sr,57.0,63.0,2026-02-08T20:33:30Z
18841,Hodgdon High School,Ashland District,29.0,50.0,2026-02-08T20:33:30Z
18851,Hodgdon High School,East Grand,50.0,22.0,2026-02-08T20:33:30Z
10665,Bangor Christian,Hodgdon High School,83.0,28.0,2026-02-08T20:33:30Z
17935,Central Aroostook Sr,Hodgdon High School,71.0,43.0,2026-02-08T20:33:30Z
18857,Hodgdon High School,Fort Kent Community,39.0,64.0,2026-02-08T20:33:30Z
18869,East Grand,Hodgdon High School,31.0,61.0,2026-02-08T20:33:30Z
17551,Hodgdon High School,Fort Fairfield HS,38.0,37.0,2026-02-08T20:33:30Z
18877,Fort Kent Community,Hodgdon High School,59.0,51.0,2026-02-08T20:33:30Z
17557,Fort Fairfield HS,Hodgdon High School,45.0,49.0,2026-02-08T20:33:30Z
18884,Hodgdon High School,Bangor Christian,12.0,84.0,2026-02-08T20:33:30Z
18897,Ashland District,Hodgdon High School,55.0,20.0,2026-02-08T20:33:30Z
17949,Hodgdon High School,Central Aroostook Sr,35.0,76.0,2026-02-08T20:33:30Z
22007,Houlton HS,Caribou,33.0,92.0,2026-02-08T20:33:30Z
21872,Houlton HS,Foxcroft Academy,24.0,103.0,2026-02-08T20:33:30Z
11683,Calais,Houlton HS,57.0,41.0,2026-02-08T20:33:30Z
22867,Houlton HS,Fort Kent Community,21.0,70.0,2026-02-08T20:33:30Z
20509,Houlton HS,Calais,58.0,83.0,2026-02-08T20:33:30Z
20904,Caribou,Houlton HS,89.0,31.0,2026-02-08T20:33:30Z
21883,Foxcroft Academy,Houlton HS,81.0,48.0,2026-02-08T20:33:30Z
20085,Fort Kent Community,Houlton HS,73.0,38.0,2026-02-08T20:33:30Z
20886,Caribou,Houlton HS,51.0,34.0,2026-02-08T20:33:30Z
21902,Houlton HS,Foxcroft Academy,33.0,48.0,2026-02-08T20:33:30Z
22102,Houlton HS,Calais,45.0,35.0,2026-02-08T20:33:30Z
22108,Houlton HS,Fort Kent Community,52.0,37.0,2026-02-08T20:33:30Z
16269,Calais,Houlton HS,35.0,26.0,2026-02-08T20:33:30Z
22110,Houlton HS,Caribou,46.0,65.0,2026-02-08T20:33:30Z
21929,Foxcroft Academy,Houlton HS,62.0,35.0,2026-02-08T20:33:30Z
20094,Fort Kent Community,Houlton HS,25.0,52.0,2026-02-08T20:33:30Z
